time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
193,2092.0,,,,,,,,,,
194,1327.0,,,,,,,,,,
195,962.0,,,,,,,,,,
196,731.0,,,,,,,,,,
197,715.0,,,,,,,,,,
198,773.0,,,,,,,,,,
199,831.0,,,,,,,,,,
200,772.0,,,,,,,,,,
201,682.0,,,,,,,,,,
202,547.0,,,,,,,,,,
203,610.0,,,,,,,,,,
204,405.0,,,,,,,,,,
205,380.0,,,,,,,,,,
206,312.0,,,,,,,,,,
207,343.0,,,,,,,,,,
208,256.0,,,,,,,,,,
209,317.0,,,,,,,,,,
210,284.0,,,,,,,,,,
211,255.0,,,,,,,,,,
212,261.0,,,,,,,,,,
213,329.0,,,,,,,,,,
214,498.0,,,,,,,,,,
215,739.0,,,,,,,,,,
216,866.0,,,,,,,,,,
217,1214.0,,,,,,,,,,
218,1102.0,,,,,,,,,,
219,1066.0,,,,,,,,,,
220,1105.0,,,,,,,,,,
221,943.0,,,,,,,,,,
222,919.0,,,,,,,,,,
223,1152.0,,,,,,,,,,
224,1269.0,,,,,,,,,,
225,1341.0,,,,,,,,,,
226,1208.0,,,,,,,,,,
227,1378.0,,,,,,,,,,
228,1387.0,,,,,,,,,,
229,633.0,,,,,,,,,,
230,893.0,,,,,,,,,,
231,1237.0,,,,,,,,,,
232,1237.0,,,,,,,,,,
233,1405.0,,,,,,,,,,
234,1529.0,,,,,,,,,,
235,1572.0,,,,,,,,,,
236,1669.0,,,,,,,,,,
237,1671.0,,,,,,,,,,
238,1455.0,,,,,,,,,,
239,1360.0,,,,,,,,,,
240,1312.0,,,,,,,,,,
241,1217.0,,,,,,,,,,
242,1098.0,,,,,,,,,,
243,946.0,,,,,,,,,,
244,870.0,,,,,,,,,,
245,837.0,,,,,,,,,,
246,732.0,,,,,,,,,,
247,594.0,,,,,,,,,,
248,543.0,,,,,,,,,,
249,578.0,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,849.0,,,,,,,,,,
270,841.0,,,,,,,,,,
271,947.0,,,,,,,,,,
272,1037.0,,,,,,,,,,
273,966.0,,,,,,,,,,
274,966.0,,,,,,,,,,
275,994.0,,,,,,,,,,
276,1113.0,,,,,,,,,,
277,1212.0,,,,,,,,,,
278,1410.0,,,,,,,,,,
279,1625.0,,,,,,,,,,
280,1695.0,,,,,,,,,,
281,1002.0,,,,,,,,,,
282,884.0,,,,,,,,,,
283,1645.0,,,,,,,,,,
284,2181.0,,,,,,,,,,
285,4366.0,,,,,,,,,,
286,9023.0,,,,,,,,,,
287,14835.0,,,,,,,,,,
288,15429.0,,,,,,,,,,
289,12230.0,,,,,,,,,,
290,9251.0,,,,,,,,,,
291,5987.0,,,,,,,,,,
292,4437.0,,,,,,,,,,
293,3216.0,,,,,,,,,,
294,2815.0,,,,,,,,,,
295,2012.0,,,,,,,,,,
296,1665.0,,,,,,,,,,
297,1167.0,,,,,,,,,,
298,980.0,,,,,,,,,,
299,765.0,,,,,,,,,,
300,774.0,,,,,,,,,,
301,625.0,,,,,,,,,,
302,548.0,,,,,,,,,,
303,584.0,,,,,,,,,,
304,425.0,,,,,,,,,,
305,453.0,,,,,,,,,,
306,481.0,,,,,,,,,,
307,367.0,,,,,,,,,,
308,312.0,,,,,,,,,,
309,262.0,,,,,,,,,,
310,186.0,,,,,,,,,,
311,208.0,,,,,,,,,,
312,198.0,,,,,,,,,,
313,196.0,,,,,,,,,,
314,152.0,,,,,,,,,,
315,177.0,,,,,,,,,,
316,210.0,,,,,,,,,,
317,278.0,,,,,,,,,,
318,373.0,,,,,,,,,,
319,603.0,,,,,,,,,,
320,740.0,,,,,,,,,,
321,767.0,,,,,,,,,,
322,950.0,,,,,,,,,,
323,1004.0,,,,,,,,,,
324,971.0,,,,,,,,,,
325,931.0,,,,,,,,,,
326,992.0,,,,,,,,,,
327,908.0,,,,,,,,,,
328,776.0,,,,,,,,,,
329,1079.0,,,,,,,,,,
330,1159.0,,,,,,,,,,
331,1378.0,,,,,,,,,,
332,1319.0,,,,,,,,,,
333,836.0,,,,,,,,,,
334,881.0,,,,,,,,,,
335,1213.0,,,,,,,,,,
336,1315.0,,,,,,,,,,
337,1901.0,,,,,,,,,,
338,3082.0,,,,,,,,,,
339,4731.0,,,,,,,,,,
340,5232.0,,,,,,,,,,
341,5504.0,,,,,,,,,,
342,5715.0,,,,,,,,,,
343,4879.0,,,,,,,,,,
344,4652.0,,,,,,,,,,
345,4142.0,,,,,,,,,,
346,3291.0,,,,,,,,,,
347,2856.0,,,,,,,,,,
348,2032.0,,,,,,,,,,
349,1477.0,,,,,,,,,,
350,1153.0,,,,,,,,,,
351,950.0,,,,,,,,,,
352,791.0,,,,,,,,,,
353,743.0,,,,,,,,,,
354,714.0,,,,,,,,,,
355,572.0,,,,,,,,,,
356,504.0,,,,,,,,,,
357,402.0,,,,,,,,,,
358,401.0,,,,,,,,,,
359,347.0,,,,,,,,,,
360,344.0,,,,,,,,,,
361,219.0,,,,,,,,,,
362,229.0,,,,,,,,,,
363,157.0,,,,,,,,,,
364,163.0,,,,,,,,,,
365,187.0,,,,,,,,,,
366,208.0,,,,,,,,,,
367,194.0,,,,,,,,,,
368,197.0,,,,,,,,,,
369,189.0,,,,,,,,,,
370,236.0,,,,,,,,,,
371,372.0,,,,,,,,,,
372,563.0,,,,,,,,,,
373,503.0,,,,,,,,,,
374,697.0,,,,,,,,,,
375,677.0,,,,,,,,,,
376,861.0,,,,,,,,,,
377,690.0,,,,,,,,,,
378,888.0,,,,,,,,,,
379,878.0,,,,,,,,,,
380,763.0,,,,,,,,,,
381,1040.0,,,,,,,,,,
382,1122.0,,,,,,,,,,
383,1259.0,,,,,,,,,,
384,1636.0,,,,,,,,,,
385,2483.0,,,,,,,,,,
386,3138.0,,,,,,,,,,
387,6498.0,,,,,,,,,,
388,7716.0,,,,,,,,,,
389,9837.0,,,,,,,,,,
390,12730.0,,,,,,,,,,
391,11071.0,,,,,,,,,,
392,8124.0,,,,,,,,,,
393,4723.0,,,,,,,,,,
394,3430.0,,,,,,,,,,
395,2333.0,,,,,,,,,,
396,1839.0,,,,,,,,,,
397,1400.0,,,,,,,,,,
398,1105.0,,,,,,,,,,
399,831.0,,,,,,,,,,
400,811.0,,,,,,,,,,
401,615.0,,,,,,,,,,
402,642.0,,,,,,,,,,
403,572.0,,,,,,,,,,
404,535.0,,,,,,,,,,
405,528.0,,,,,,,,,,
406,488.0,,,,,,,,,,
407,415.0,,,,,,,,,,
408,357.0,,,,,,,,,,
409,320.0,,,,,,,,,,
410,356.0,,,,,,,,,,
411,276.0,,,,,,,,,,
412,230.0,,,,,,,,,,
413,112.0,,,,,,,,,,
414,162.0,,,,,,,,,,
415,152.0,,,,,,,,,,
416,141.0,,,,,,,,,,
417,134.0,,,,,,,,,,
418,159.0,,,,,,,,,,
419,118.0,,,,,,,,,,
420,136.0,,,,,,,,,,
421,164.0,,,,,,,,,,
422,227.0,,,,,,,,,,
423,312.0,,,,,,,,,,
424,590.0,,,,,,,,,,
425,521.0,,,,,,,,,,
426,742.0,,,,,,,,,,
427,829.0,,,,,,,,,,
428,757.0,,,,,,,,,,
429,692.0,,,,,,,,,,
430,781.0,,,,,,,,,,
431,812.0,,,,,,,,,,
432,711.0,,,,,,,,,,
433,964.0,,,,,,,,,,
434,1118.0,,,,,,,,,,
435,1219.0,,,,,,,,,,
436,1393.0,,,,,,,,,,
437,1068.0,,,,,,,,,,
438,630.0,,,,,,,,,,
439,1079.0,,,,,,,,,,
440,1456.0,,,,,,,,,,
441,2342.0,,,,,,,,,,
442,5123.0,,,,,,,,,,
443,8011.0,,,,,,,,,,
444,11803.0,,,,,,,,,,
445,13740.0,,,,,,,,,,
446,14684.0,,,,,,,,,,
447,13945.0,,,,,,,,,,
448,12504.0,,,,,,,,,,
449,9969.0,,,,,,,,,,
450,5860.0,,,,,,,,,,
451,3012.0,,,,,,,,,,
452,1982.0,,,,,,,,,,
453,1134.0,,,,,,,,,,
454,722.0,,,,,,,,,,
455,542.0,,,,,,,,,,
456,461.0,,,,,,,,,,
457,399.0,,,,,,,,,,
458,351.0,,,,,,,,,,
459,325.0,,,,,,,,,,
460,278.0,,,,,,,,,,
461,306.0,,,,,,,,,,
462,294.0,,,,,,,,,,
463,273.0,,,,,,,,,,
464,257.0,,,,,,,,,,
465,121.0,,,,,,,,,,
466,173.0,,,,,,,,,,
467,146.0,,,,,,,,,,
468,116.0,,,,,,,,,,
469,92.0,,,,,,,,,,
470,178.0,,,,,,,,,,
471,176.0,,,,,,,,,,
472,175.0,,,,,,,,,,
473,176.0,,,,,,,,,,
474,254.0,,,,,,,,,,
475,321.0,,,,,,,,,,
476,343.0,,,,,,,,,,
477,387.0,,,,,,,,,,
478,648.0,,,,,,,,,,
479,582.0,,,,,,,,,,
480,655.0,,,,,,,,,,
481,696.0,,,,,,,,,,
482,714.0,,,,,,,,,,
483,819.0,,,,,,,,,,
484,804.0,,,,,,,,,,
485,914.0,,,,,,,,,,
486,1043.0,,,,,,,,,,
487,999.0,,,,,,,,,,
488,1164.0,,,,,,,,,,
489,1152.0,,,,,,,,,,
490,437.0,,,,,,,,,,
491,841.0,,,,,,,,,,
492,1387.0,,,,,,,,,,
493,1733.0,,,,,,,,,,
